# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4 
TYPE F F F 
COUNT 1 1 1 
WIDTH 94645
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 94645
DATA ascii 
 -14.2716064 0.2179195 9.5439873
 -12.7695436 0.1428891 7.8872638
 -13.4975605 0.3518155 8.8655825
 -13.5682669 0.2736856 8.6847048
 -13.7160769 0.1942422 8.8316364
 -13.4785662 0.3625442 8.5621729
 -13.7214079 0.3015152 8.9125738
 -12.8744478 0.2776410 8.5543594
 -12.7362080 0.2977043 8.6148529
 -13.3156729 0.3532497 8.4724312
 -13.3154964 0.3536144 8.4726028
 -13.4123249 0.2701165 8.4716234
 -13.5972261 0.1668990 8.7020922
 -12.6969576 0.2575510 8.4054890
 -12.8987484 0.2999371 8.6039619
 -12.8261881 0.2639940 7.9205275
 -12.3347139 0.3223216 8.0317354
 -12.2337151 0.2005874 8.4883356
 -12.1610060 0.1960259 8.5283260
 -12.3395290 0.3218674 8.0342369
 -12.9498234 0.3441299 8.0532637
 -13.3612957 0.2014584 8.3764343
 -13.3353977 0.2446243 8.3975344
 -13.8860636 0.2334742 9.1154490
 -12.7502527 0.3233748 8.4362278
 -12.4217844 0.2459363 8.3734531
 -12.5814066 -0.0306974 8.2544136
 -12.4370012 -0.1671173 8.0763159
 -13.1853189 0.3389016 8.8274355
 -12.4991903 -0.0978089 8.9309549
 -12.0490751 0.0823442 8.4724674
 -13.1291313 0.3377346 8.6857538
 -12.7290421 0.0820323 9.1942530
 -12.8627939 -0.0164198 9.3629293
 -13.0049820 0.0388008 9.5499964
 -14.0095615 0.3710250 9.3652945
 -12.8832922 -0.0143203 9.3717947
 -12.9010067 0.1547816 9.4152927
 -13.9018421 0.2548926 9.0810699
 -13.7583208 0.3770733 8.9518347
 -13.7495661 0.3617685 8.9651728
 -13.4000731 0.3432556 9.2269163
 -12.7724438 0.3010324 8.6496077
 -12.7594042 0.0153257 8.6303205
 -13.9478788 0.3168018 9.2384014
 -13.5995054 0.3697121 8.8630457
 -12.8280754 0.0839739 9.3039351
 -12.0495605 0.7273875 7.0516248
 -12.9519567 0.3617616 8.6201582
 -13.2640839 0.2169572 8.3515577
 -12.9647417 0.4387863 7.9938126
 -12.8412323 0.0627348 7.7219310
 -12.8450813 0.0634163 7.7256255
 -13.7695131 0.3214991 9.0198383
 -12.9424276 0.3456486 8.0495348
 -11.2003660 -0.0893607 7.8506689
 -12.7084980 0.2372577 7.7723932
 -12.5059061 0.2677220 8.1579266
 -12.4685163 0.2394788 8.1505814
 -11.4671307 0.0988144 7.9143267
 -11.4414721 0.2943276 7.1030908
 -12.0600348 0.1904014 8.4719992
 -14.0133228 0.2744771 9.3110523
 -14.0261517 0.2264203 9.2917938
 -13.4428425 0.3413307 9.2609663
 -14.0177937 0.2986776 9.3076677
 -14.0317860 0.2978776 9.3357086
 -12.8789816 -0.0110853 9.3636513
 -12.5881386 -0.1828496 7.9669075
 -12.5456743 -0.2518521 7.9303722
 -13.5189543 0.3532935 9.0644903
 -13.1638670 0.3470831 8.4759083
 -13.0184259 0.1447905 8.0037718
 -13.2291327 0.1813380 8.2434492
 -11.8925543 -0.4482600 5.6489630
 -11.7789440 -0.4599448 5.4919019
 -12.8258715 0.3422799 8.0221519
 -13.1996603 0.2361676 8.2888355
 -12.8768682 0.3445109 8.3684673
 -12.1612072 -0.0053739 7.6809840
 -12.8590469 0.2052184 7.9597931
 -12.8123188 0.3282080 8.0332251
 -11.7731457 -0.4858954 5.6428094
 -13.1537790 0.2390024 9.6888418
 -14.1416407 0.1999006 9.3732786
 -13.1107435 0.3316487 8.6296425
 -12.9649763 -0.0194856 9.4632912
 -13.4038715 0.0890990 8.4507875
 -12.3920393 0.3275518 8.0575094
 -12.5522747 -0.1361061 8.0904799
 -12.3858156 0.0356401 8.2614269
 -12.7082100 0.0077792 8.5043650
 -13.9940863 0.3515655 9.2941236
 -12.8145723 0.0825449 9.2968283
 -12.2411203 0.3138166 8.2172899
 -13.1541986 0.3402584 8.7991533
 -14.0160046 0.2097841 9.2417126
 -13.4925470 0.3192078 9.3769436
 -13.3304195 0.3411663 9.3879862
 -13.8724728 0.3075182 9.2024107
 -13.9641066 0.2857990 9.2811346
 -14.0198336 0.2995129 9.3119221
 -13.5200081 0.3587182 8.8393698
 -12.5157261 -0.0135050 8.3966799
 -12.7288408 0.0663702 8.3944349
 -13.3054943 0.2755021 8.4198875
 -12.4163704 -0.2310304 7.7486515
 -13.5067787 0.3568997 8.7725697
 -13.2906866 0.2166696 8.3948374
 -13.1272888 0.1428846 8.3451080
 -8.8907290 -0.7048685 5.8244524
 -9.6768188 0.0424994 6.3674917
 -12.3969746 0.0939712 7.3755879
 -12.2473974 0.3292780 7.4920745
 -12.5032797 0.3357277 7.7063971
 -12.2400951 0.3310918 7.4830279
 -12.2958603 0.1271791 7.3374519
 -12.3689547 0.1387781 7.4447470
 -9.5034313 -0.1576764 6.2758193
 -13.1460304 -0.2852113 9.0525303
 -14.5566244 0.3764583 10.8332424
 -12.6410761 -0.5337656 8.5147219
 -12.4375095 -0.5338397 8.2157507
 -13.0882683 0.2522321 8.7779236
 -14.5450945 0.3082793 10.7700758
 -12.8323517 -0.1023070 7.9807324
 -12.8303080 0.0845410 9.3039522
 -12.7691526 0.1732938 9.2548122
 -12.7243519 0.0819760 9.1927357
 -13.6885166 0.3629744 8.8950176
 -13.8020658 0.3664958 9.1564484
 -13.3717079 0.3446439 9.2164745
 -13.3876400 0.3413824 9.3639030
 -12.7630215 -0.0077141 9.2485313
 -14.1582565 0.3677337 10.1820707
 -14.2631388 0.3813124 9.9881277
 -14.2572289 0.3694302 10.2771444
 -13.8025723 0.2497398 10.1290607
 -12.4823771 -0.2738239 8.2406712
 -12.8304796 0.0849701 9.3041544
 -12.9901104 0.3371090 8.4890432
 -13.7419996 0.3652509 8.9519024
 -12.5325813 0.2080147 8.9791374
 -12.2004499 -0.3047663 8.6222553
 -12.9367056 -0.0198885 9.4356709
 -12.7641077 -0.1978524 8.6376715
 -11.5584173 0.1517625 6.7068763
 -10.0489197 0.0010053 6.6881943
 -6.4380941 -1.0868483 5.2984991
 -11.7671280 0.2918512 7.3726406
 -12.1067047 0.2717344 7.2390194
 -10.7751322 0.0800455 7.2749028
 -10.7851124 0.0807135 7.2786427
 -13.0536823 0.2858083 8.0888309
 -12.4387703 0.2890259 8.0898256
 -12.3473272 0.2092574 8.3924026
 -12.9486771 0.2478999 8.0164289
 -12.3906889 0.3244119 8.0524597
 -12.6506329 0.3265431 8.1026993
 -12.3890791 0.3237397 8.0523138
 -12.4775324 0.2575344 8.1599083
 -12.3131380 0.0352720 7.2982602
 -8.8971758 -0.5173925 5.8357701
 -12.5574036 0.2338012 7.6445055
 -12.8328991 0.0848688 9.3049650
 -12.7742004 0.1740694 9.2565222
 -13.6658373 0.0507094 8.6810989
 -12.5870371 -0.0228316 9.0476227
 -12.4971180 0.0777381 8.9352217
 -12.8214397 -0.1087864 8.0103731
 -12.7197008 -0.1301666 8.1101484
 -12.2798729 -0.2046482 8.7054205
 -12.1793213 -0.0446232 8.6238050
 -13.9769707 0.3551055 9.2639017
 -13.9520693 0.3271684 9.2275419
 -14.0257654 0.2550737 9.3064289
 -13.3099775 0.3576137 9.1810284
 -12.9725161 0.2030093 9.4844704
 -11.3112555 0.2989801 6.8436165
 -10.9585848 0.0663469 7.4250607
 -8.8684578 -0.0195306 5.5994706
 -6.3227901 -0.7664363 3.7918692
 -6.5613098 -0.5212248 3.6314650
 -6.6625471 -0.5957972 3.6358061
 -6.7706189 -0.6704794 3.7240217
 -4.5624137 0.8511208 6.3808408
 -8.9655666 -0.3375554 5.8493938
